NO.,AZV1,AZV2,AZV3,AZV4,AZV5,ASV1,ASV2,ASV3,ASV4,ASV5,DSV1,DSV2,DSV3,DSV4,DSV5,AZS1,AZS2,AZS3,AZS4,AZS5,ASZ1,ASZ2,ASZ3,ASZ4,ASZ5,DN2S1,DN2S2,DN2S3,DN2S4,DN2S5,DN2I1,DN2I2,DN2I3,DN2I4,DN2I5,ASI1,ASI2,ASI3,ASI4,ASI5,DSI1,DSI2,DSI3,DSI4,DSI5,ASN1,ASN2,ASN3,ASN4,ASN5,DSN1,DSN2,DSN3,DSN4,DSN5,DN2N1,DN2N2,DN2N3,DN2N4,DN2N5,ANS1,ANS2,ANS3,ANS4,ANS5,ANV1,ANV2,ANV3,ANV4,ANV5,AZN1,AZN2,AZN3,AZN4,AZN5,ANZ1,ANZ2,ANZ3,ANZ4,ANZ5,ANI1,ANI2,ANI3,ANI4,ANI5,DSZ1,DSZ2,DSZ3,DSZ4,DSZ5,ANN1,ANN2,ANN3,ANN4,ANN5,DN2Z1,DN2Z2,DN2Z3,DN2Z4,DN2Z5
1,6.680081,2.056471,12.932221,120.209122,5.625056,0.496816,0.011159,3.543579,1632.070325,0.430129,0.279923,0.005487,-99,-99,0.226453,393.16115,6294.399957,101.80405,2.359916,374.840225,1.454806,0.083719,6.22095,579.339788,1.413435,4.006324,0.619451,10.347519,219.214194,3.925745,0.031541,0.000037,0.922683,25493.28561,0.031521,0.21487,0.001768,2.398303,3726.75997,0.211174,0.115291,0.000586,1.714102,8009.616382,0.101365,5.801499,1.288583,12.461947,138.028147,5.70169,3.112848,0.427204,8.906737,296.652459,2.736861,0.851618,0.026895,4.794399,944.195763,0.851066,118.752177,548.74974,56.279485,7.524788,115.907983,2.031089,0.175253,7.253251,379.089553,1.859891,82.71889,261.868796,47.037629,10.176816,81.094228,6.396537,1.697066,13.011072,139.054689,6.171143,0.924774,0.031705,4.996282,886.719406,0.924324,0.764756,0.028393,4.363549,1449.816732,0.639066,24.968911,23.113075,25.961443,32.841459,24.956757,0.216529,0.001954,2.393565,4041.293223,0.208874
2,3.05348,0.850436,5.976724,50.442906,2.894911,0.79297,0.060718,3.01953,204.538745,0.724075,0.477731,0.03358,-99,-99,-99,47.653106,205.333453,23.654737,3.778128,45.592928,2.21408,0.424001,5.130446,70.478796,2.173096,2.207688,0.427517,5.115825,76.730697,2.155675,0.068002,0.000386,0.903031,2274.564803,0.067908,0.354236,0.010761,2.05378,436.856719,0.348657,0.202023,0.004088,1.500744,968.596812,0.168126,4.250831,1.54965,7.114502,36.404727,4.18388,2.424281,0.588679,5.198731,80.716401,2.017507,0.816026,0.05564,3.12819,189.547067,0.814892,28.067347,70.387183,18.200469,6.198109,27.167193,1.816701,0.294289,4.626236,84.242146,1.748684,17.241095,25.043442,14.362533,9.318753,17.136726,5.307308,2.374767,7.969271,30.059175,5.277992,0.848608,0.060145,3.190234,186.336946,0.847655,1.262989,0.164326,3.763176,146.148616,1.091194,10.183299,8.660887,11.051295,15.528079,10.171863,0.424823,0.015174,2.255443,367.338364,0.423043
3,4.945048,1.406929,9.731461,82.46803,4.504481,0.513941,0.015892,3.11277,837.204063,0.452128,0.294651,0.008304,-99,-99,0.215599,213.071824,2505.573648,64.483367,2.31937,202.934399,1.454013,0.109578,5.36708,287.166244,1.426249,3.518584,0.647091,8.342414,130.059911,3.441715,0.041204,0.000085,0.907546,10098.7136,0.04116,0.235046,0.002862,2.158268,1765.642819,0.230754,0.127561,0.000981,1.548579,3736.839485,0.111253,4.700922,1.144847,9.652067,88.282141,4.615077,2.55123,0.392559,6.925455,186.841974,2.225054,0.824071,0.034025,4.058669,504.93568,0.823205,78.48489,325.597495,39.346775,5.946357,76.360979,1.880231,0.197238,6.033616,215.286666,1.755887,48.777359,121.008118,31.165032,9.020849,48.34495,5.620457,1.597005,10.589096,76.457617,5.59337,0.905988,0.041092,4.256069,469.437105,0.905424,0.787654,0.037599,3.830022,647.706669,0.667318,18.119769,16.436775,19.03372,23.471855,18.108487,0.255364,0.003298,2.256903,1646.917974,0.254025
4,8.011827,2.380614,15.404094,133.469529,7.239714,0.368529,0.004975,3.313399,2956.002042,0.33802,0.198355,0.001962,-99,-99,0.165423,709.543823,17038.70722,147.398218,1.655785,692.13797,1.024312,0.034859,5.613587,1091.166398,1.00866,5.240804,0.919013,12.688014,217.884919,5.146092,0.026805,0.000023,0.911383,40374.12266,0.026784,0.160802,0.000861,2.223678,6842.502385,0.158205,0.085068,0.000272,1.586561,14810.42678,0.077051,4.984856,0.827092,12.380917,220.725883,4.90436,2.637104,0.261711,8.833597,477.755703,2.388589,0.830942,0.022307,5.074363,1302.391054,0.830292,183.926498,1134.433245,75.147945,6.254436,180.448674,2.091959,0.154179,7.947175,501.692256,1.977302,111.849825,409.321714,58.77791,9.957437,111.039884,5.994363,1.183619,13.599523,187.5421,5.939722,0.932517,0.028065,5.376297,1171.452677,0.932293,0.536745,0.010662,3.99664,2413.537655,0.492429,28.908041,26.970261,29.933953,37.788796,28.901097,0.171736,0.00097,2.302213,6498.324491,0.170252
5,5.749375,1.696666,11.010556,96.375737,5.196626,0.617806,0.02029,3.603781,916.201636,0.56148,0.346728,0.009293,-99,-99,0.253065,214.458753,2268.536216,67.970536,2.858391,205.602997,1.729052,0.146798,6.115108,332.273391,1.673087,3.241313,0.496047,8.4038,182.196064,3.179195,0.038758,0.000068,0.923266,14117.77827,0.038735,0.263164,0.003254,2.396023,2085.556501,0.258747,0.141888,0.001075,1.725045,4368.538621,0.128233,5.789602,1.575143,11.238344,94.798023,5.692428,3.121536,0.52025,8.09118,198.569937,2.821126,0.852668,0.033086,4.3305,641.717194,0.852171,76.620419,279.558008,40.813534,7.831358,74.815819,2.045642,0.204638,6.637237,262.300947,1.95509,55.922356,145.609763,34.944966,10.031055,55.020448,6.087522,1.941569,11.438805,98.150332,5.84573,0.907016,0.037424,4.466586,611.350228,0.906656,0.914726,0.051878,4.283108,904.012608,0.743774,19.954358,18.113354,20.950147,27.788647,19.946439,0.258088,0.003509,2.354366,2291.365812,0.247515
6,5.464696,1.530606,10.59562,86.336257,5.213399,0.575764,0.018553,3.396957,869.667587,0.521331,0.330055,0.009246,-99,-99,0.305931,219.264989,2550.6458,66.977854,2.574176,208.292722,1.530877,0.115652,5.643854,312.864331,1.50259,3.334396,0.555845,8.317786,157.450187,3.255712,0.040058,0.000077,0.916973,11978.71913,0.040022,0.253587,0.003181,2.296365,1901.889979,0.24861,0.138531,0.001111,1.64703,4309.716138,0.117625,5.325327,1.402734,10.523265,90.566189,5.220814,2.909145,0.490156,7.547639,205.224578,2.470128,0.841219,0.033757,4.202098,570.415197,0.840456,76.432746,294.571103,39.781216,6.969449,74.313581,1.97,0.19856,6.366086,239.262452,1.886291,54.093278,141.590318,33.632291,9.3212,53.623964,5.478338,1.431234,10.724012,88.629964,5.474501,0.90619,0.039135,4.361904,537.329633,0.905829,0.833743,0.039662,4.055134,662.127871,0.720689,19.03,17.25856,19.988756,25.587125,19.022419,0.242163,0.0028,2.254358,1975.181319,0.24185
7,2.501197,0.712781,4.901377,43.705419,2.290965,0.988951,0.114455,3.075169,112.016683,0.900614,0.596278,0.062445,-99,-99,-99,23.980749,59.924348,15.399732,5.019411,23.44075,2.856583,0.821971,5.339651,38.49471,2.845668,1.729271,0.305427,4.14702,67.300178,1.71011,0.082707,0.000685,0.90933,1320.531829,0.082669,0.436509,0.019329,2.085609,247.433681,0.433473,0.24997,0.006959,1.559475,439.761666,0.236646,4.365086,1.932878,6.595276,24.743368,4.334726,2.499696,0.695927,4.931493,43.976167,2.366459,0.827073,0.068469,2.875553,132.053183,0.826688,17.403035,31.829157,13.104912,7.016635,16.939465,1.778524,0.341969,4.169409,60.345125,1.694335,11.401463,13.071418,10.6707,9.705093,11.371776,5.453615,3.075395,7.354398,21.496737,5.364774,0.822148,0.067849,2.865954,136.392966,0.820592,1.610732,0.272135,3.988246,68.616688,1.570085,8.221476,6.784921,9.062943,13.639297,8.20592,0.544606,0.02997,2.330691,206.964853,0.541837
8,3.472462,1.005439,6.802144,58.523761,3.118081,0.754325,0.050653,3.142173,280.328242,0.654573,0.444835,0.028201,-99,-99,-99,69.559216,382.097721,30.776049,3.675202,65.707982,2.12515,0.337787,5.424168,98.597048,2.078783,2.386677,0.421466,5.754029,95.697777,2.342904,0.059252,0.000251,0.910609,3513.13097,0.059207,0.337043,0.008356,2.164315,612.064619,0.332177,0.187022,0.002958,1.580014,1214.938317,0.169447,4.718604,1.637871,8.098126,43.718901,4.650475,2.618312,0.579686,5.91187,86.781308,2.372252,0.829523,0.049225,3.407186,250.937926,0.828893,35.526779,95.35027,22.136194,6.69965,34.466423,1.8283,0.269601,4.965544,109.938099,1.688053,23.599733,40.555275,18.132726,9.378206,23.371234,5.468271,2.171487,8.733143,39.592225,5.42842,0.869407,0.054148,3.487532,246.519501,0.868149,1.185971,0.128106,3.928431,218.766995,1.014544,12.1717,10.613,13.049149,17.608536,12.154087,0.372654,0.010081,2.279774,565.660938,0.369894
9,3.000783,0.912975,5.963672,54.929731,2.457015,0.710653,0.05023,2.91774,236.001514,0.597075,0.428664,0.030387,-99,-99,0.357144,58.1032,282.7007,27.184812,3.431025,55.606334,2.207414,0.38833,5.333813,77.202286,2.169948,2.361287,0.446586,5.511304,79.204826,2.311427,0.062951,0.000305,0.904404,2649.759615,0.062887,0.336739,0.009019,2.083607,487.82338,0.331225,0.188303,0.003289,1.523051,919.55763,0.168425,4.37761,1.52423,7.512552,37.524875,4.305926,2.447945,0.555794,5.491438,70.735202,2.189531,0.818363,0.051621,3.260874,203.827663,0.817529,33.230287,91.060999,20.595361,5.932137,32.025557,1.695852,0.261129,4.579514,93.729345,1.527182,19.795279,30.491906,16.019462,8.724922,19.68663,5.785755,2.692655,8.625347,32.00706,5.662163,0.86955,0.058399,3.360451,199.740788,0.867776,1.214986,0.134272,3.88079,152.125138,1.099724,11.304148,9.869426,12.116278,15.364676,11.281087,0.415351,0.013616,2.316496,424.492819,0.4103
10,2.444331,0.646738,5.154465,56.832122,1.946868,0.61645,0.041954,2.611006,222.137696,0.520859,0.379589,0.027405,-99,-99,-99,46.787041,199.245279,23.421294,3.117008,44.644266,2.505384,0.569087,5.425875,57.299518,2.403115,2.460286,0.533175,5.395311,60.580064,2.391651,0.066248,0.000367,0.891185,1962.700728,0.06612,0.316596,0.008696,1.939059,406.676793,0.310052,0.179521,0.003375,1.413553,847.656971,0.152041,3.799146,1.252157,6.717097,33.889733,3.720625,2.154248,0.48596,4.89669,70.638081,1.824489,0.794976,0.052865,3.087157,163.558394,0.793439,33.089522,98.760458,19.720141,4.732362,31.72221,1.561009,0.232371,4.245299,80.99827,1.441106,15.36367,21.010971,13.434737,8.595949,14.668988,7.442642,6.127945,9.150074,23.029979,6.593884,0.869916,0.063266,3.22963,155.37898,0.868499,1.292061,0.186158,3.765074,141.844977,1.066237,10.438991,9.110354,11.187768,12.948248,10.421994,0.545681,0.032696,2.48237,303.892847,0.487627
